sample_date,sample_time,sample_year,location_id,location,analyte,sample_fraction,result_unit,result_value,guideline_unit,guideline_threshold,guideline_direction,row_class,is_evaluated,is_pass,is_non_detect,is_censored_above
2019-12-19,10:18,2019,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,72.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,110.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2020-07-13,12:50,2020,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,210.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,50.000000,ug/l,300.000,maximum,evaluated,1,1,1,0
2020-11-18,13:15,2020,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,156.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2021-06-28,11:00,2021,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,76.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2021-08-24,10:30,2021,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,127.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2021-10-11,16:00,2021,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,128.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2021-12-13,15:30,2021,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,129.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,91.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,268.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,158.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,180.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,171.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,87.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,230.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2023-11-06,11:15,2023,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,145.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2024-04-16,14:45,2024,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,101.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2024-07-17,10:30,2024,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,227.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2024-09-17,12:40,2024,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,67.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2024-11-12,14:30,2024,NS01DH0002,Salmon River at Murray,Iron,Total,ug/l,91.000000,ug/l,300.000,maximum,evaluated,1,1,0,
2020-04-16,10:00,2020,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2020-09-10,11:45,2020,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-04-26,15:55,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-08-10,10:05,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-10-25,10:15,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2022-11-28,12:10,2022,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-05-03,13:00,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-06-27,11:00,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
2023-09-07,15:30,2023,NS01DH0002,Salmon River at Murray,Molybdenum,Dissolved,ug/l,,,,,wrong_fraction,0,,1,
